,cause,cause_desc
14864,T22021,Burn of unspecified degree of right elbow
14865,T23569,Corrosion of first degree of back of unspecified hand
14866,T24131,Burn of first degree of right lower leg
14867,T281,Burn of esophagus
14868,T34011,Frostbite with tissue necrosis of right ear
14869,T34819,Frostbite with tissue necrosis of unspecified ankle
14870,T403X5,Adverse effect of methadone
14871,T43504,"Poisoning by unspecified antipsychotics and neuroleptics, undetermined"
14872,T44992,"Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm"
14873,T462X1,"Poisoning by other antidysrhythmic drugs, accidental (unintentional)"
14874,T496X4,"Poisoning by otorhinolaryngological drugs and preparations, undetermined"
14875,T498X2,"Poisoning by other topical agents, intentional self-harm"
14876,T503X5,"Adverse effect of electrolytic, caloric and water-balance agents"
14877,T6194,"Toxic effect of unspecified seafood, undetermined"
14878,T63421,"Toxic effect of venom of ants, accidental (unintentional)"
14879,T63444,"Toxic effect of venom of bees, undetermined"
14880,T71164,"Asphyxiation due to hanging, undetermined"
14881,S73191,Other sprain of right hip
14882,S7420,"Injury of cutaneous sensory nerve at hip and thigh level, unspecified leg"
14883,S75892,"Other specified injury of other blood vessels at hip and thigh level, left leg"
14884,S76812,"Strain of other specified muscles, fascia and tendons at thigh level, left thigh"
14885,S80879,"Other superficial bite, unspecified lower leg"
14886,S81012,"Laceration without foreign body, left knee"
14887,S82434,Nondisplaced oblique fracture of shaft of right fibula
14888,S83101,Unspecified subluxation of right knee
14889,S93412,Sprain of calcaneofibular ligament of left ankle
14890,S95811,"Laceration of other blood vessels at ankle and foot level, right leg"
14891,S95901,"Unspecified injury of unspecified blood vessel at ankle and foot level, right leg"
14892,S96829,"Laceration of other specified muscles and tendons at ankle and foot level, unspecified foot"
14893,T1512,"Foreign body in conjunctival sac, left eye"
14894,T17498,Other foreign object in trachea causing other injury
14895,T2154,Corrosion of first degree of lower back
14896,T2165,Corrosion of second degree of buttock
14897,T23461,Corrosion of unspecified degree of back of right hand
14898,T363X6,Underdosing of macrolides
14899,T374X1,"Poisoning by anthelminthics, accidental (unintentional)"
14900,T46906,Underdosing of unspecified agents primarily affecting the cardiovascular system
14901,T490X3,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, assault"
14902,T590X3,"Toxic effect of nitrogen oxides, assault"
14903,T63451,"Toxic effect of venom of hornets, accidental (unintentional)"
14904,T71222,"Asphyxiation due to being trapped in a car trunk, intentional self-harm"
14905,T83112,Breakdown (mechanical) of indwelling ureteral stent
14906,S73024,Obturator dislocation of right hip
14907,S82026,Nondisplaced longitudinal fracture of unspecified patella
14908,S92035,Nondisplaced avulsion fracture of tuberosity of left calcaneus
14909,S92132,Displaced fracture of posterior process of left talus
14910,S95819,"Laceration of other blood vessels at ankle and foot level, unspecified leg"
14911,S99829,Other specified injuries of unspecified foot
14912,T22452,Corrosion of unspecified degree of left shoulder
14913,T23741,"Corrosion of third degree of multiple right fingers (nail), including thumb"
14914,T2682,Corrosions of other specified parts of left eye and adnexa
14915,T322,Corrosions involving 20-29% of body surface
14916,T3342,Superficial frostbite of left arm
14917,T3991,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, accidental (unintentional)"
14918,T407X5,Adverse effect of cannabis (derivatives)
14919,T421X1,"Poisoning by iminostilbenes, accidental (unintentional)"
14920,T424X1,"Poisoning by benzodiazepines, accidental (unintentional)"
14921,T543X1,"Toxic effect of corrosive alkalis and alkali-like substances, accidental (unintentional)"
14922,T63411,"Toxic effect of venom of centipedes and venomous millipedes, accidental (unintentional)"
14923,T71133,"Asphyxiation due to being trapped in bed linens, assault"
14924,T80419,"Rh incompatibility with hemolytic transfusion reaction, unspecified"
14925,T84062,Wear of articular bearing surface of internal prosthetic right knee joint
14926,T84099,Other mechanical complication of unspecified internal joint prosthesis
14927,S75111,"Minor laceration of femoral vein at hip and thigh level, right leg"
14928,S81829,"Laceration with foreign body, unspecified lower leg"
14929,S82392,Other fracture of lower end of left tibia
14930,S85112,"Laceration of unspecified tibial artery, left leg"
14931,S86801,"Unspecified injury of other muscle(s) and tendon(s) at lower leg level, right leg"
14932,S89042,Salter-Harris Type IV physeal fracture of upper end of left tibia
14933,S91031,"Puncture wound without foreign body, right ankle"
14934,S92154,Nondisplaced avulsion fracture (chip fracture) of right talus
14935,S93305,Unspecified dislocation of left foot
14936,S93313,Subluxation of tarsal joint of unspecified foot
14937,S96202,"Unspecified injury of intrinsic muscle and tendon at ankle and foot level, left foot"
14938,T17208,Unspecified foreign body in pharynx causing other injury
14939,T20412,"Corrosion of unspecified degree of left ear [any part, except ear drum]"
14940,T20611,"Corrosion of second degree of right ear [any part, except ear drum]"
14941,T22352,Burn of third degree of left shoulder
14942,T23202,"Burn of second degree of left hand, unspecified site"
14943,T25431,Corrosion of unspecified degree of right toe(s) (nail)
14944,T372X1,"Poisoning by antimalarials and drugs acting on other blood protozoa, accidental (unintentional)"
14945,T411X6,Underdosing of intravenous anesthetics
14946,T426X3,"Poisoning by other antiepileptic and sedative-hypnotic drugs, assault"
14947,T484X5,Adverse effect of expectorants
14948,T543X3,"Toxic effect of corrosive alkalis and alkali-like substances, assault"
14949,T63074,"Toxic effect of venom of other Australian snake, undetermined"
14950,T63891,"Toxic effect of contact with other venomous animals, accidental (unintentional)"
14951,T80218,Other infection due to central venous catheter
14952,T81533,Perforation due to foreign body accidentally left in body following injection or immunization
14953,T84091,Other mechanical complication of internal left hip prosthesis
14954,S72416,Nondisplaced unspecified condyle fracture of lower end of unspecified femur
14955,S72433,Displaced fracture of medial condyle of unspecified femur
14956,S72446,Nondisplaced fracture of lower epiphysis (separation) of unspecified femur
14957,S75229,"Major laceration of greater saphenous vein at hip and thigh level, unspecified leg"
14958,S82126,Nondisplaced fracture of lateral condyle of unspecified tibia
14959,S82845,Nondisplaced bimalleolar fracture of left lower leg
14960,S89009,Unspecified physeal fracture of upper end of unspecified tibia
14961,S89039,Salter-Harris Type III physeal fracture of upper end of unspecified tibia
14962,S89102,Unspecified physeal fracture of lower end of left tibia
14963,S91051,"Open bite, right ankle"
14964,S99039,Salter-Harris Type III physeal fracture of unspecified calcaneus
14965,S99049,Salter-Harris Type IV physeal fracture of unspecified calcaneus
14966,T2070,"Corrosion of third degree of head, face, and neck, unspecified site"
14967,T22351,Burn of third degree of right shoulder
14968,T25321,Burn of third degree of right foot
14969,T2681,Corrosions of other specified parts of right eye and adnexa
14970,T3792,"Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm"
14971,T421X6,Underdosing of iminostilbenes
14972,T43014,"Poisoning by tricyclic antidepressants, undetermined"
14973,T43024,"Poisoning by tetracyclic antidepressants, undetermined"
14974,T4396,Underdosing of unspecified psychotropic drug
14975,T48993,"Poisoning by other agents primarily acting on the respiratory system, assault"
14976,T491X1,"Poisoning by antipruritics, accidental (unintentional)"
14977,T507X4,"Poisoning by analeptics and opioid receptor antagonists, undetermined"
14978,T524X4,"Toxic effect of ketones, undetermined"
14979,T551X2,"Toxic effect of detergents, intentional self-harm"
14980,T551X3,"Toxic effect of detergents, assault"
14981,T596X1,"Toxic effect of hydrogen sulfide, accidental (unintentional)"
14982,T71152,"Asphyxiation due to smothering in furniture, intentional self-harm"
14983,T8132,"Disruption of internal operation (surgical) wound, not elsewhere classified"
14984,T81521,Obstruction due to foreign body accidentally left in body following infusion or transfusion
14985,T8181,Complication of inhalation therapy
14986,S76891,"Other injury of other specified muscles, fascia and tendons at thigh level, right thigh"
14987,S83402,Sprain of unspecified collateral ligament of left knee
14988,S90466,"Insect bite (nonvenomous), unspecified lesser toe(s)"
14989,S91115,Laceration without foreign body of left lesser toe(s) without damage to nail
14990,S91339,"Puncture wound without foreign body, unspecified foot"
14991,S93315,Dislocation of tarsal joint of left foot
14992,S93502,Unspecified sprain of left great toe
14993,S99121,Salter-Harris Type II physeal fracture of right metatarsal
14994,T20519,"Corrosion of first degree of unspecified ear [any part, except ear drum]"
14995,T2121,Burn of second degree of chest wall
14996,T22262,Burn of second degree of left scapular region
14997,T22549,Corrosion of first degree of unspecified axilla
14998,T23369,Burn of third degree of back of unspecified hand
14999,T24332,Burn of third degree of left lower leg
15000,T24522,Corrosion of first degree of left knee
15001,T24702,"Corrosion of third degree of unspecified site of left lower limb, except ankle and foot"
15002,T24722,Corrosion of third degree of left knee
15003,T25531,Corrosion of first degree of right toe(s) (nail)
15004,T362X3,"Poisoning by chloramphenicol group, assault"
15005,T373X1,"Poisoning by other antiprotozoal drugs, accidental (unintentional)"
15006,T4144,"Poisoning by unspecified anesthetic, undetermined"
15007,T43634,"Poisoning by methylphenidate, undetermined"
15008,T450X4,"Poisoning by antiallergic and antiemetic drugs, undetermined"
15009,T480X5,Adverse effect of oxytocic drugs
15010,T56891,"Toxic effect of other metals, accidental (unintentional)"
15011,T63413,"Toxic effect of venom of centipedes and venomous millipedes, assault"
15012,T839,"Unspecified complication of genitourinary prosthetic device, implant and graft"
15013,S72391,Other fracture of shaft of right femur
15014,S75219,"Minor laceration of greater saphenous vein at hip and thigh level, unspecified leg"
15015,S82255,Nondisplaced comminuted fracture of shaft of left tibia
15016,S82302,Unspecified fracture of lower end of left tibia
15017,S82843,Displaced bimalleolar fracture of unspecified lower leg
15018,S88029,"Partial traumatic amputation at knee level, unspecified lower leg"
15019,S89139,Salter-Harris Type III physeal fracture of lower end of unspecified tibia
15020,S90551,"Superficial foreign body, right ankle"
15021,S91009,"Unspecified open wound, unspecified ankle"
15022,S91041,"Puncture wound with foreign body, right ankle"
15023,S91126,Laceration with foreign body of unspecified lesser toe(s) without damage to nail
15024,S91145,Puncture wound with foreign body of left lesser toe(s) without damage to nail
15025,S91259,Open bite of unspecified toe(s) with damage to nail
15026,S96012,"Strain of muscle and tendon of long flexor muscle of toe at ankle and foot level, left foot"
15027,T20712,"Corrosion of third degree of left ear [any part, except ear drum]"
15028,T23622,Corrosion of second degree of single left finger (nail) except thumb
15029,T25521,Corrosion of first degree of right foot
15030,T28412,Burn of left ear drum
15031,T404X3,"Poisoning by other synthetic narcotics, assault"
15032,T410X5,Adverse effect of inhaled anesthetics
15033,T43691,"Poisoning by other psychostimulants, accidental (unintentional)"
15034,T465X2,"Poisoning by other antihypertensive drugs, intentional self-harm"
15035,T46902,"Poisoning by unspecified agents primarily affecting the cardiovascular system, intentional self-harm"
15036,T481X6,Underdosing of skeletal muscle relaxants [neuromuscular blocking agents]
15037,T50B94,"Poisoning by other viral vaccines, undetermined"
15038,T63323,"Toxic effect of venom of tarantula, assault"
15039,T731,Deprivation of water
15040,T84060,Wear of articular bearing surface of internal prosthetic right hip joint
15041,S82192,Other fracture of upper end of left tibia
15042,S82453,Displaced comminuted fracture of shaft of unspecified fibula
15043,S92526,Nondisplaced fracture of middle phalanx of unspecified lesser toe(s)
15044,S96902,"Unspecified injury of unspecified muscle and tendon at ankle and foot level, left foot"
15045,S96992,"Other specified injury of unspecified muscle and tendon at ankle and foot level, left foot"
15046,T22269,Burn of second degree of unspecified scapular region
15047,T22299,"Burn of second degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand"
15048,T22459,Corrosion of unspecified degree of unspecified shoulder
15049,T22562,Corrosion of first degree of left scapular region
15050,T23012,Burn of unspecified degree of left thumb (nail)
15051,T23272,Burn of second degree of left wrist
15052,T23459,Corrosion of unspecified degree of unspecified palm
15053,T24699,"Corrosion of second degree of multiple sites of unspecified lower limb, except ankle and foot"
15054,T30,"Burn and corrosion, body region unspecified"
15055,T34512,Frostbite with tissue necrosis of left wrist
15056,T404X2,"Poisoning by other synthetic narcotics, intentional self-harm"
15057,T404X5,Adverse effect of other synthetic narcotics
15058,T460X5,Adverse effect of cardiac-stimulant glycosides and drugs of similar action
15059,T478X4,"Poisoning by other agents primarily affecting gastrointestinal system, undetermined"
15060,T485X5,Adverse effect of other anti-common-cold drugs
15061,T497X1,"Poisoning by dental drugs, topically applied, accidental (unintentional)"
15062,T500X1,"Poisoning by mineralocorticoids and their antagonists, accidental (unintentional)"
15063,T63514,"Toxic effect of contact with stingray, undetermined"
15064,T63893,"Toxic effect of contact with other venomous animals, assault"
15065,T704,Effects of high-pressure fluids
15066,T7401,"Adult neglect or abandonment, confirmed"
15067,T7632,"Child psychological abuse, suspected"
15068,T83723,Exposure of implanted urethral bulking agent into urethra
15069,S72451,Displaced supracondylar fracture without intracondylar extension of lower end of right femur
15070,S85901,"Unspecified injury of unspecified blood vessel at lower leg level, right leg"
15071,S91123,Laceration with foreign body of unspecified great toe without damage to nail
15072,S91206,Unspecified open wound of unspecified lesser toe(s) with damage to nail
15073,S91226,Laceration with foreign body of unspecified lesser toe(s) with damage to nail
15074,S92145,Nondisplaced dome fracture of left talus
15075,S93439,Sprain of tibiofibular ligament of unspecified ankle
15076,S96291,"Other specified injury of intrinsic muscle and tendon at ankle and foot level, right foot"
15077,T24029,Burn of unspecified degree of unspecified knee
15078,T24731,Corrosion of third degree of right lower leg
15079,T25099,Burn of unspecified degree of multiple sites of unspecified ankle and foot
15080,T25532,Corrosion of first degree of left toe(s) (nail)
15081,T2611,"Burn of cornea and conjunctival sac, right eye"
15082,T323,Corrosions involving 30-39% of body surface
15083,T378X6,Underdosing of other specified systemic anti-infectives and antiparasitics
15084,T4143,"Poisoning by unspecified anesthetic, assault"
15085,T476X3,"Poisoning by antidiarrheal drugs, assault"
15086,T506X3,"Poisoning by antidotes and chelating agents, assault"
15087,T532X2,"Toxic effect of trichloroethylene, intentional self-harm"
15088,T542X4,"Toxic effect of corrosive acids and acid-like substances, undetermined"
15089,T608X1,"Toxic effect of other pesticides, accidental (unintentional)"
15090,T81527,Obstruction due to foreign body accidentally left in body following removal of catheter or packing
15091,T83418,"Breakdown (mechanical) of other prosthetic devices, implants and grafts of genital tract"
15092,S76029,"Laceration of muscle, fascia and tendon of unspecified hip"
15093,S76391,"Other specified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, right thigh"
15094,S8262,Displaced fracture of lateral malleolus of left fibula
15095,S85179,"Laceration of posterior tibial artery, unspecified leg"
15096,S86102,"Unspecified injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, left leg"
15097,S89199,Other physeal fracture of lower end of unspecified tibia
15098,S90411,"Abrasion, right great toe"
15099,S90921,Unspecified superficial injury of right foot
15100,S92331,"Displaced fracture of third metatarsal bone, right foot"
15101,T22332,Burn of third degree of left upper arm
15102,T23329,Burn of third degree of unspecified single finger (nail) except thumb
15103,T24019,Burn of unspecified degree of unspecified thigh
15104,T24191,"Burn of first degree of multiple sites of right lower limb, except ankle and foot"
15105,T445X4,"Poisoning by predominantly beta-adrenoreceptor agonists, undetermined"
15106,T476X6,Underdosing of antidiarrheal drugs
15107,T628X2,"Toxic effect of other specified noxious substances eaten as food, intentional self-harm"
15108,T63044,"Toxic effect of cobra venom, undetermined"
15109,T63464,"Toxic effect of venom of wasps, undetermined"
15110,T81590,Other complications of foreign body accidentally left in body following surgical operation
15111,T8169,Other acute reaction to foreign substance accidentally left during a procedure
15112,T82318,Breakdown (mechanical) of other vascular grafts
15113,T83031,Leakage of indwelling urethral catheter
15114,T84191,Other mechanical complication of internal fixation device of left humerus
15115,S72353,Displaced comminuted fracture of shaft of unspecified femur
15116,S76229,"Laceration of adductor muscle, fascia and tendon of unspecified thigh"
15117,S83229,"Peripheral tear of medial meniscus, current injury, unspecified knee"
15118,S85102,"Unspecified injury of unspecified tibial artery, left leg"
15119,S89149,Salter-Harris Type IV physeal fracture of lower end of unspecified tibia
15120,S90464,"Insect bite (nonvenomous), right lesser toe(s)"
15121,S90822,"Blister (nonthermal), left foot"
15122,S92302,"Fracture of unspecified metatarsal bone(s), left foot"
15123,S95909,"Unspecified injury of unspecified blood vessel at ankle and foot level, unspecified leg"
15124,S98112,Complete traumatic amputation of left great toe
15125,T17500,Unspecified foreign body in bronchus causing asphyxiation
15126,T2109,Burn of unspecified degree of other site of trunk
15127,T23759,Corrosion of third degree of unspecified palm
15128,T24312,Burn of third degree of left thigh
15129,T28912,Corrosions of left ear drum
15130,T3695,Adverse effect of unspecified systemic antibiotic
15131,T403X2,"Poisoning by methadone, intentional self-harm"
15132,T41292,"Poisoning by other general anesthetics, intentional self-harm"
15133,T422X5,Adverse effect of succinimides and oxazolidinediones
15134,T426X2,"Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm"
15135,T457X1,"Poisoning by anticoagulant antagonists, vitamin K and other coagulants, accidental (unintentional)"
15136,T470X4,"Poisoning by histamine H2-receptor blockers, undetermined"
15137,T565X1,"Toxic effect of zinc and its compounds, accidental (unintentional)"
15138,T595X1,"Toxic effect of fluorine gas and hydrogen fluoride, accidental (unintentional)"
15139,T65214,"Toxic effect of chewing tobacco, undetermined"
15140,T80A19,"Non-ABO incompatibility with hemolytic transfusion reaction, unspecified"
15141,T814,Infection following a procedure
15142,T83714,Erosion of implanted ureteral bulking agent to surrounding organ or tissue
15143,S72479,Torus fracture of lower end of unspecified femur
15144,S79129,Salter-Harris Type II physeal fracture of lower end of unspecified femur
15145,S79911,Unspecified injury of right hip
15146,S8000,Contusion of unspecified knee
15147,S80859,"Superficial foreign body, unspecified lower leg"
15148,S82002,Unspecified fracture of left patella
15149,S86229,"Laceration of muscle(s) and tendon(s) of anterior muscle group at lower leg level, unspecified leg"
15150,S90872,Other superficial bite of left foot
15151,S92031,Displaced avulsion fracture of tuberosity of right calcaneus
15152,S93321,Subluxation of tarsometatarsal joint of right foot
15153,T17328,Food in larynx causing other injury
15154,T18110,Gastric contents in esophagus causing compression of trachea
15155,T2131,Burn of third degree of chest wall
15156,T23011,Burn of unspecified degree of right thumb (nail)
15157,T23032,"Burn of unspecified degree of multiple left fingers (nail), not including thumb"
15158,T23251,Burn of second degree of right palm
15159,T23702,"Corrosion of third degree of left hand, unspecified site"
15160,T25732,Corrosion of third degree of left toe(s) (nail)
15161,T378X4,"Poisoning by other specified systemic anti-infectives and antiparasitics, undetermined"
15162,T3996,"Underdosing of unspecified nonopioid analgesic, antipyretic and antirheumatic"
15163,T423X4,"Poisoning by barbiturates, undetermined"
15164,T501X3,"Poisoning by loop [high-ceiling] diuretics, assault"
15165,T50B91,"Poisoning by other viral vaccines, accidental (unintentional)"
15166,T540X1,"Toxic effect of phenol and phenol homologues, accidental (unintentional)"
15167,T590X2,"Toxic effect of nitrogen oxides, intentional self-harm"
15168,T656X3,"Toxic effect of paints and dyes, not elsewhere classified, assault"
15169,T81503,Unspecified complication of foreign body accidentally left in body following injection or immunization
15170,T84123,Displacement of internal fixation device of bone of left forearm
15171,S75992,"Other specified injury of unspecified blood vessel at hip and thigh level, left leg"
15172,S88121,"Partial traumatic amputation at level between knee and ankle, right lower leg"
15173,S89291,Other physeal fracture of upper end of right fibula
15174,S90461,"Insect bite (nonvenomous), right great toe"
15175,S91245,Puncture wound with foreign body of left lesser toe(s) with damage to nail
15176,S92215,Nondisplaced fracture of cuboid bone of left foot
15177,S92919,Unspecified fracture of unspecified toe(s)
15178,S93114,Dislocation of interphalangeal joint of right lesser toe(s)
15179,S99912,Unspecified injury of left ankle
15180,T1501,"Foreign body in cornea, right eye"
15181,T17310,Gastric contents in larynx causing asphyxiation
15182,T20312,"Burn of third degree of left ear [any part, except ear drum]"
15183,T22619,Corrosion of second degree of unspecified forearm
15184,T22799,"Corrosion of third degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand"
15185,T23432,"Corrosion of unspecified degree of multiple left fingers (nail), not including thumb"
15186,T25031,Burn of unspecified degree of right toe(s) (nail)
15187,T25399,Burn of third degree of multiple sites of unspecified ankle and foot
15188,T3692,"Poisoning by unspecified systemic antibiotic, intentional self-harm"
15189,T371X4,"Poisoning by antimycobacterial drugs, undetermined"
15190,T43594,"Poisoning by other antipsychotics and neuroleptics, undetermined"
15191,T485X2,"Poisoning by other anti-common-cold drugs, intentional self-harm"
15192,T507X5,Adverse effect of analeptics and opioid receptor antagonists
15193,T510X2,"Toxic effect of ethanol, intentional self-harm"
15194,T512X4,"Toxic effect of 2-Propanol, undetermined"
15195,T523X1,"Toxic effect of glycols, accidental (unintentional)"
15196,T621X4,"Toxic effect of ingested berries, undetermined"
15197,T65814,"Toxic effect of latex, undetermined"
15198,T82128,Displacement of other cardiac electronic device
15199,S82034,Nondisplaced transverse fracture of right patella
15200,S91105,Unspecified open wound of left lesser toe(s) without damage to nail
15201,S91156,Open bite of unspecified lesser toe(s) without damage to nail
15202,S92511,Displaced fracture of proximal phalanx of right lesser toe(s)
15203,S93411,Sprain of calcaneofibular ligament of right ankle
15204,S93629,Sprain of tarsometatarsal ligament of unspecified foot
15205,S95192,Other specified injury of plantar artery of left foot
15206,S95999,"Other specified injury of unspecified blood vessel at ankle and foot level, unspecified leg"
15207,S99222,Salter-Harris Type II physeal fracture of phalanx of left toe
15208,T1592,"Foreign body on external eye, part unspecified, left eye"
15209,T2050,"Corrosion of first degree of head, face, and neck, unspecified site"
15210,T20511,"Corrosion of first degree of right ear [any part, except ear drum]"
15211,T23269,Burn of second degree of back of unspecified hand
15212,T23351,Burn of third degree of right palm
15213,T24009,"Burn of unspecified degree of unspecified site of unspecified lower limb, except ankle and foot"
15214,T311,Burns involving 10-19% of body surface
15215,T3409,Frostbite with tissue necrosis of other part of head
15216,T362X2,"Poisoning by chloramphenicol group, intentional self-harm"
15217,T382X2,"Poisoning by antithyroid drugs, intentional self-harm"
15218,T404X1,"Poisoning by other synthetic narcotics, accidental (unintentional)"
15219,T426X1,"Poisoning by other antiepileptic and sedative-hypnotic drugs, accidental (unintentional)"
15220,T45513,"Poisoning by anticoagulants, assault"
15221,T474X1,"Poisoning by other laxatives, accidental (unintentional)"
15222,T4995,Adverse effect of unspecified topical agent
15223,T513X4,"Toxic effect of fusel oil, undetermined"
15224,T534X1,"Toxic effect of dichloromethane, accidental (unintentional)"
15225,T602X3,"Toxic effect of other insecticides, assault"
15226,T71114,"Asphyxiation due to smothering under pillow, undetermined"
15227,T81595,Other complications of foreign body accidentally left in body following heart catheterization
15228,T82218,Other mechanical complication of coronary artery bypass graft
15229,T83498,"Other mechanical complication of other prosthetic devices, implants and grafts of genital tract"
15230,S73013,Posterior subluxation of unspecified hip
15231,S7410,"Injury of femoral nerve at hip and thigh level, unspecified leg"
15232,S7712,Crushing injury of left thigh
15233,S78111,Complete traumatic amputation at level between right hip and knee
15234,S79119,Salter-Harris Type I physeal fracture of lower end of unspecified femur
15235,S85992,"Other specified injury of unspecified blood vessel at lower leg level, left leg"
15236,S86112,"Strain of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, left leg"
15237,S9430,"Injury of cutaneous sensory nerve at ankle and foot level, unspecified leg"
15238,S99192,Other physeal fracture of left metatarsal
15239,T22762,Corrosion of third degree of left scapular region
15240,T23629,Corrosion of second degree of unspecified single finger (nail) except thumb
15241,T25022,Burn of unspecified degree of left foot
15242,T25411,Corrosion of unspecified degree of right ankle
15243,T34019,Frostbite with tissue necrosis of unspecified ear
15244,T45696,Underdosing of other fibrinolysis-affecting drugs
15245,T457X2,"Poisoning by anticoagulant antagonists, vitamin K and other coagulants, intentional self-harm"
15246,T475X2,"Poisoning by digestants, intentional self-harm"
15247,T502X4,"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, undetermined"
15248,T50993,"Poisoning by other drugs, medicaments and biological substances, assault"
15249,T63042,"Toxic effect of cobra venom, intentional self-harm"
15250,T656X2,"Toxic effect of paints and dyes, not elsewhere classified, intentional self-harm"
15251,T670,Heatstroke and sunstroke
15252,T69021,"Immersion foot, right foot"
15253,T800,"Air embolism following infusion, transfusion and therapeutic injection"
15254,T82818,"Embolism due to vascular prosthetic devices, implants and grafts"
15255,T83192,Other mechanical complication of indwelling ureteral stent
15256,S82452,Displaced comminuted fracture of shaft of left fibula
15257,S83003,Unspecified subluxation of unspecified patella
15258,S98119,Complete traumatic amputation of unspecified great toe
15259,T22522,Corrosion of first degree of left elbow
15260,T25039,Burn of unspecified degree of unspecified toe(s) (nail)
15261,T25229,Burn of second degree of unspecified foot
15262,T28411,Burn of right ear drum
15263,T465X4,"Poisoning by other antihypertensive drugs, undetermined"
15264,T498X1,"Poisoning by other topical agents, accidental (unintentional)"
15265,S75022,"Major laceration of femoral artery, left leg"
15266,S75901,"Unspecified injury of unspecified blood vessel at hip and thigh level, right leg"
15267,S79829,Other specified injuries of unspecified thigh
15268,S82123,Displaced fracture of lateral condyle of unspecified tibia
15269,S82864,Nondisplaced Maisonneuve's fracture of right leg
15270,S83016,Lateral dislocation of unspecified patella
15271,T199,"Foreign body in genitourinary tract, part unspecified"
15272,T22361,Burn of third degree of right scapular region
15273,T22399,"Burn of third degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand"
15274,T25639,Corrosion of second degree of unspecified toe(s) (nail)
15275,T370X5,Adverse effect of sulfonamides
15276,T4594,"Poisoning by unspecified primarily systemic and hematological agent, undetermined"
15277,T483X4,"Poisoning by antitussives, undetermined"
15278,T486X3,"Poisoning by antiasthmatics, assault"
15279,T48901,"Poisoning by unspecified agents primarily acting on the respiratory system, accidental (unintentional)"
15280,T50A15,"Adverse effect of pertussis vaccine, including combinations with a pertussis component"
15281,T79A21,Traumatic compartment syndrome of right lower extremity
15282,T84033,Mechanical loosening of internal left knee prosthetic joint
15283,S72363,Displaced segmental fracture of shaft of unspecified femur
15284,S79011,Salter-Harris Type I physeal fracture of upper end of right femur
15285,S82121,Displaced fracture of lateral condyle of right tibia
15286,S83102,Unspecified subluxation of left knee
15287,S86222,"Laceration of muscle(s) and tendon(s) of anterior muscle group at lower leg level, left leg"
15288,S95809,"Unspecified injury of other blood vessels at ankle and foot level, unspecified leg"
15289,S98142,Partial traumatic amputation of one left lesser toe
15290,S99011,Salter-Harris Type I physeal fracture of right calcaneus
15291,T22011,Burn of unspecified degree of right forearm
15292,T321,Corrosions involving 10-19% of body surface
15293,T372X6,Underdosing of antimalarials and drugs acting on other blood protozoa
15294,T374X3,"Poisoning by anthelminthics, assault"
15295,T398X5,"Adverse effect of other nonopioid analgesics and antipyretics, not elsewhere classified"
15296,T44903,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, assault"
15297,T45694,"Poisoning by other fibrinolysis-affecting drugs, undetermined"
15298,T470X6,Underdosing of histamine H2-receptor blockers
15299,T480X1,"Poisoning by oxytocic drugs, accidental (unintentional)"
15300,T498X5,Adverse effect of other topical agents
15301,T6091,"Toxic effect of unspecified pesticide, accidental (unintentional)"
15302,T8242,Displacement of vascular dialysis catheter
15303,S80911,Unspecified superficial injury of right knee
15304,S82866,Nondisplaced Maisonneuve's fracture of unspecified leg
15305,S89101,Unspecified physeal fracture of lower end of right tibia
15306,S92342,"Displaced fracture of fourth metatarsal bone, left foot"
15307,S92352,"Displaced fracture of fifth metatarsal bone, left foot"
15308,S93402,Sprain of unspecified ligament of left ankle
15309,S93622,Sprain of tarsometatarsal ligament of left foot
15310,S98312,Complete traumatic amputation of left midfoot
15311,T2146,Corrosion of unspecified degree of male genital region
15312,T22621,Corrosion of second degree of right elbow
15313,T23401,"Corrosion of unspecified degree of right hand, unspecified site"
15314,T24201,"Burn of second degree of unspecified site of right lower limb, except ankle and foot"
15315,T24322,Burn of third degree of left knee
15316,T25519,Corrosion of first degree of unspecified ankle
15317,T40603,"Poisoning by unspecified narcotics, assault"
15318,T41291,"Poisoning by other general anesthetics, accidental (unintentional)"
15319,T478X5,Adverse effect of other agents primarily affecting gastrointestinal system
15320,T498X6,Underdosing of other topical agents
15321,T591X4,"Toxic effect of sulfur dioxide, undetermined"
15322,T61773,"Other fish poisoning, assault"
15323,T63023,"Toxic effect of coral snake venom, assault"
15324,T63614,"Toxic effect of contact with Portugese Man-o-war, undetermined"
15325,T6592,"Toxic effect of unspecified substance, intentional self-harm"
